States,All households,Total population,Real GDP (2017),Total population in poverty status,Electric (EV),Hybrid Electric (HEV),Gasoline,Diesel,Number of public airports,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
Alabama,82956,5074296,235807.3,800395,8700,50800,4077100,126100,81,59770842,12444938,2725055
Alaska,109524,733583,50315.1,78608,2000,9000,457100,30500,286,4570507,3041992,2595066
Arizona,101316,7359197,403474.2,897852,65800,150800,5476100,198700,72,85008624,20706390,17612965
Arkansas,76853,3045637,137355.5,496311,5100,30600,2229500,89700,90,44957073,6989008,2048709
California,131504,39029342,3167460.8,4670324,903600,1514000,31059000,725300,218,345999169,91817052,50768583
Colorado,119039,5839926,416114.4,540517,59900,131800,4506300,206800,66,57367947,13926147,24126256
Connecticut,128160,3626205,276668.8,345695,22000,64500,2636300,44100,11,19121371,3031175,3654753
Delaware,105438,1018396,75172.6,93285,5400,19500,795400,14500,3,9556759,713006,522707
Florida,99349,22244823,1218430.2,2762679,168000,338700,15846500,343500,109,184800171,40790877,54801774
Georgia,99863,10912876,655827.3,1348344,60100,147200,8204500,205900,103,128846592,35509769,14643434
Hawaii,120969,1440196,85211.4,142378,19800,32600,960000,15500,15,3230297,933073,2133557
Idaho,94503,1939033,91683.7,202517,5900,36500,1545500,136000,126,23449577,4945965,2283375
Illinois,106728,12582032,864170.9,1469643,66900,244100,8606400,171300,78,131226309,35358340,24917525
Indiana,88805,6833037,396009.2,834550,17700,100900,5116800,153500,73,74817119,14100562,7782408
Iowa,92695,3200517,197846.3,339867,6200,48600,2521300,103000,106,50865563,6911616,3004873
Kansas,93221,2937150,174794.6,342670,7600,43500,2159200,87000,121,44922635,8661774,4138512
Kentucky,82614,4512310,217568.1,722865,7600,55800,3368800,115800,63,61856486,8209933,3677225
Louisiana,79175,4590241,231262.3,829565,5900,31400,3159000,115400,69,64186458,11168635,4469991
Maine,93555,1385340,72413.5,145161,5000,28900,1028100,26800,38,13715549,1181525,914533
Maryland,125876,6164660,412282.6,581748,46100,146200,4373900,88400,17,50832459,10659225,6482308
Massachusetts,133823,6981974,604357.7,700156,49400,158600,4777600,59300,26,39761084,5293774,9624360
Michigan,91856,10034118,539898.2,1315899,33100,122800,7071800,175400,127,114968352,19512990,11435217
Minnesota,109737,5717184,379111.5,540079,24300,105300,4180500,127300,140,84028523,11175562,11060030
Mississippi,72624,2940057,114152.9,544104,2400,22300,2275400,75400,74,41721631,8972931,1740238
Missouri,88586,6177957,336625.8,791030,17900,95100,4444600,176200,105,95964357,13859053,8267636
Montana,90874,1122867,53983.4,133233,3300,17100,765400,69900,121,17848379,2092391,2007949
Nebraska,94599,1967923,137078.1,215838,4600,27300,1576900,75100,80,27291042,3287305,2484546
Nevada,98422,3177772,187226.2,390848,32900,59100,2157700,85200,45,30423672,10340344,6584590
New Hampshire,119452,1395231,90150.5,98057,7000,31100,1180700,29400,15,10595396,769286,1202541
New Jersey,134191,9261699,646731.3,882045,87000,142600,6339500,85500,19,58669340,11173210,9743321
New Mexico,82382,2113344,101315.0,364725,7100,37600,1584500,88000,64,44215688,12641403,2813616
New York,119130,19677151,1763524.6,2734819,84700,259600,9987400,152000,63,182585294,29581673,26341323
North Carolina,94353,10698973,609058.2,1329157,45600,175300,7700300,209600,75,135611872,23078529,9622524
North Dakota,97699,779261,54798.7,86192,600,6600,614300,43800,89,13972967,2411121,825215
Ohio,90109,11756058,689681.3,1540922,34100,165700,8868300,197000,105,107486485,19159360,12207033
Oklahoma,82741,4019800,191583.0,610254,16300,47000,3538100,147500,117,54973842,7655760,3198101
Oregon,102923,4240137,254708.4,503935,47000,138900,3065400,216100,90,46546595,7367405,6010527
Pennsylvania,100015,12972008,772335.9,1483365,47400,199600,8888900,191700,66,140707236,17447129,9907664
Rhode Island,108023,1093734,62190.9,113878,4300,18600,782500,11200,6,5133075,948465,1172763
South Carolina,88704,5282634,250873.4,717348,13500,66800,4254700,107600,57,60307732,11213359,4443270
South Dakota,90806,909824,54959.3,109889,1200,10300,739400,53000,71,17828027,2419809,1077229
Tennessee,89799,7051339,412101.3,915683,22000,94000,5536100,157700,75,76383941,19950479,8467001
Texas,101738,30029572,1924007.5,4113641,149000,361800,21065800,771000,287,340527566,79300028,43169068
Utah,114044,3380800,213898.3,273052,28000,69300,2454700,155000,50,40786835,11517278,6334651
Vermont,97261,647064,34609.4,65162,5300,17800,501500,14700,11,5556375,799661,664301
Virginia,119058,8683619,576964.3,891390,56600,198400,6643300,153700,52,96179389,20054381,8856078
Washington,125847,7785786,641143.6,763469,104100,270200,5650700,277400,98,70449322,9609560,17535306
West Virginia,75265,1775156,76525.5,308825,1900,18300,1267500,45700,25,24967995,3063673,754139
Wisconsin,94085,5892539,335688.5,617037,15700,105200,4577400,144500,96,88456343,12245382,6376683
Wyoming,90018,581381,37294.2,66943,800,6900,483000,61200,40,13511687,1791666,848615
