States,Number of public airports
Alabama,81
Alaska,286
Arizona,72
Arkansas,90
California,218
Colorado,66
Connecticut,11
Delaware,3
Florida,109
Georgia,103
Hawaii,15
Idaho,126
Illinois,78
Indiana,73
Iowa,106
Kansas,121
Kentucky,63
Louisiana,69
Maine,38
Maryland,17
Massachusetts,26
Michigan,127
Minnesota,140
Mississippi,74
Missouri,105
Montana,121
Nebraska,80
Nevada,45
New Hampshire,15
New Jersey,19
New Mexico,64
New York,63
North Carolina,75
North Dakota,89
Ohio,105
Oklahoma,117
Oregon,90
Pennsylvania,66
Rhode Island,6
South Carolina,57
South Dakota,71
Tennessee,75
Texas,287
Utah,50
Vermont,11
Virginia,52
Washington,98
West Virginia,25
Wisconsin,96
Wyoming,40
